DATE,GDP,CPI,RATE
1987-01-01,0.0267961607191385,0.0323272346338701,0.0604666666666667
1987-04-01,0.0330331420538457,0.0522365282522013,0.0681666666666667
1987-07-01,0.0321469660921334,0.0529772689645593,0.0694
1987-10-01,0.0438160914569092,0.0592935125640288,0.0764
1988-01-01,0.0415467516823593,0.0510185313689222,0.0671666666666667
1988-04-01,0.0438695464987013,0.0463907649012154,0.0722333333333333
1988-07-01,0.0410734795993246,0.0471061895924225,0.0817333333333334
1988-10-01,0.0372858718202806,0.0454500727432925,0.0879666666666667
1989-01-01,0.0422472816872848,0.0524605161891971,0.096
1989-04-01,0.0367975187689726,0.0574901238078578,0.0957666666666666
1989-07-01,0.0383367942748389,0.0518683029282303,0.0872666666666667
1989-10-01,0.0270683566182246,0.0545543031722877,0.0843666666666667
1990-01-01,0.027822381402677,0.059473564635284,0.0824333333333334
1990-04-01,0.0238412547289073,0.0533925757708844,0.0833333333333334
1990-07-01,0.0171246981451212,0.0627589350571403,0.0804333333333334
1990-10-01,0.00601048773999224,0.0616700232500498,0.0797
1991-01-01,-0.00954784290303756,0.0549720232450133,0.0671333333333333
1991-04-01,-0.00540345199010694,0.0490677877136911,0.0601333333333333
1991-07-01,-0.00102769639959632,0.0402111209520832,0.057
1991-10-01,0.0115975214326429,0.0328885593749635,0.0491333333333333
1992-01-01,0.0281876597945505,0.0329398490778665,0.0412333333333333
1992-04-01,0.0312055603545716,0.034780184764184,0.0389333333333333
1992-07-01,0.0359974748522944,0.0353441403416443,0.0327
1992-10-01,0.0428926905276583,0.0386597131560995,0.0344
1993-01-01,0.032660605637421,0.0360220141763969,0.0314
1993-04-01,0.0276800228134562,0.0316649146439687,0.0313333333333333
1993-07-01,0.0226076675369757,0.027918934395978,0.0314
1993-10-01,0.0257419690862797,0.0223267104371097,0.0328333333333333
1994-01-01,0.0337299260883483,0.0227477619878149,0.0345
1994-04-01,0.041385672766447,0.023107575010151,0.0434666666666667
1994-07-01,0.0424537970584993,0.0242255791102766,0.0485666666666667
1994-10-01,0.0403347704018824,0.0239342146043118,0.0586333333333333
1995-01-01,0.0342190941247829,0.0205803147757218,0.0618333333333333
1995-04-01,0.0237377067572098,0.026300827200612,0.0601
1995-07-01,0.0263800354627772,0.0248820632607991,0.0575666666666667
1995-10-01,0.0217573812942824,0.0274555381534896,0.0571666666666667
1996-01-01,0.0256785068533762,0.0325148773912209,0.0527666666666667
1996-04-01,0.0392411654807283,0.0274323815744903,0.0539333333333333
1996-07-01,0.0397006113538989,0.0278693319730463,0.0548
1996-10-01,0.0432636300407481,0.0281086564288078,0.0541
1997-01-01,0.0422366849686355,0.0256246019644815,0.0544333333333333
1997-04-01,0.0421785937250512,0.022789057163588,0.0569
1997-07-01,0.0456786863999845,0.0220611665255968,0.056
1997-10-01,0.0438990263923866,0.021737857810507,0.0573
1998-01-01,0.0474083134977761,0.015374439256326,0.0555333333333333
1998-04-01,0.0401407401947402,0.0169018108026036,0.0559
1998-07-01,0.0401603544624649,0.0171901866987714,0.0552666666666667
1998-10-01,0.0476422748879539,0.0153790036047923,0.0519666666666667
1999-01-01,0.0470921322013691,0.0149513998529649,0.049
1999-04-01,0.0461918535151149,0.0187028352387513,0.0497666666666667
1999-07-01,0.046885544263942,0.0204707679008154,0.0538333333333333
1999-10-01,0.0471471642346977,0.0228204150995737,0.0606
2000-01-01,0.0413910088443181,0.0294331866325317,0.0603333333333333
2000-04-01,0.0511177652873265,0.0296193767633683,0.0657333333333333
2000-07-01,0.0389714945583979,0.0319421598998684,0.0662666666666667
2000-10-01,0.0286032047562639,0.0313873613639464,0.0659
